name,brand,link,rating,votes,genre
Jubilation 40,Amouage,https://www.parfumo.com/Perfumes/Amouage/jubilation-40,8.5,618,Men
Héritage  Eau de Toilette,Guerlain,https://www.parfumo.com/Perfumes/Guerlain/Heritage_Eau_de_Toilette,8.2,764,Men
Boss Bottled Elixir,Hugo Boss,https://www.parfumo.com/Perfumes/Hugo_Boss/boss-bottled-elixir,7.9,1003,Men
CK One Shock for Him,Calvin Klein,https://www.parfumo.com/Perfumes/Calvin_Klein/CK_One_Shock_for_Him,7.6,1238,Men
Mefisto Gentiluomo,Casamorati,https://www.parfumo.com/Perfumes/casamorati/mefisto-gentiluomo,8.1,839,Men
Cool Water Intense,Davidoff,https://www.parfumo.com/Perfumes/Davidoff/Cool_Water_Intense,7.4,1528,Men
Journey Man,Amouage,https://www.parfumo.com/Perfumes/Amouage/Journey_Man,8.1,847,Men
Pour Monsieur  Eau de Toilette,Chanel,https://www.parfumo.com/Perfumes/Chanel/Pour_Monsieur_A_Gentleman_s_Cologne_For_Men,8.2,760,Men
Azzaro pour Homme  Eau de Toilette,Azzaro,https://www.parfumo.com/Perfumes/Azzaro/Azzaro_pour_Homme,7.7,1216,Men
L'Homme Idéal Cologne,Guerlain,https://www.parfumo.com/Perfumes/Guerlain/L_Homme_Ideal_Cologne,8.1,848,Men
Armani Code Profumo,Giorgio Armani,https://www.parfumo.com/Perfumes/Giorgio_Armani/Armani_Code_Profumo,7.8,1054,Men
Icon,Dunhill,https://www.parfumo.com/Perfumes/Dunhill/Icon,7.9,996,Men
Godolphin,Parfums de Marly,https://www.parfumo.com/Perfumes/Parfums_de_Marly/Godolphin,7.8,1006,Men
Club de Nuit Intense Man  Eau de Parfum,Armaf,https://www.parfumo.com/Perfumes/Armaf/club-de-nuit-intense-man-eau-de-parfum,7.7,1170,Men
Chypre Palatin,Parfums MDCI,https://www.parfumo.com/Perfumes/Parfums_MDCI/Chypre_Palatin,8.3,709,Men
Opium pour Homme  Eau de Toilette,Yves Saint Laurent,https://www.parfumo.com/Perfumes/Yves_Saint_Laurent/Opium_pour_Homme,8.2,767,Men
Eros Energy,Versace,https://www.parfumo.com/Perfumes/Versace/eros-energy,7.5,1348,Men
French Lover,Editions de Parfums Frédéric Malle,https://www.parfumo.com/Perfumes/Editions_de_Parfum_Frederic_Malle/French_Lover_Bois_d_Orage,7.9,934,Men
